entity_url,card_slug,suit,indexed,last_checked,gsc_status,canonical_correct,sitemap_present,manually_requested,notes
https://www.tidesofknowing.com/repeating-card-meanings/knight-of-cups/,knight-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/knight-of-pentacles/,knight-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/knight-of-swords/,knight-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/knight-of-wands/,knight-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/nine-of-cups/,nine-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/nine-of-pentacles/,nine-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/nine-of-swords/,nine-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/nine-of-wands/,nine-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/page-of-cups/,page-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/page-of-pentacles/,page-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/page-of-swords/,page-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/page-of-wands/,page-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/queen-of-cups/,queen-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/queen-of-pentacles/,queen-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/queen-of-swords/,queen-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/queen-of-wands/,queen-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/seven-of-cups/,seven-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/seven-of-pentacles/,seven-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/seven-of-swords/,seven-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/seven-of-wands/,seven-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/six-of-cups/,six-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/six-of-pentacles/,six-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/six-of-swords/,six-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/six-of-wands/,six-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/strength/,strength,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/temperance/,temperance,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/ten-of-cups/,ten-of-cups,cups,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/ten-of-pentacles/,ten-of-pentacles,pentacles,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/ten-of-swords/,ten-of-swords,swords,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/ten-of-wands/,ten-of-wands,wands,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-chariot/,the-chariot,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-devil/,the-devil,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-emperor/,the-emperor,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-empress/,the-empress,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-fool/,the-fool,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-hanged-man/,the-hanged-man,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-hermit/,the-hermit,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-hierophant/,the-hierophant,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-high-priestess/,the-high-priestess,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-lovers/,the-lovers,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-magician/,the-magician,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-moon/,the-moon,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-star/,the-star,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-sun/,the-sun,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
https://www.tidesofknowing.com/repeating-card-meanings/the-tower/,the-tower,majors,,2026-05-25,summary_export,Y,Y,N,GSC summary 2026-05-25: Discovered – currently not indexed (141); Alternative page with proper canonical tag (8); Page with redirect (3); Redirect error (2); Not found (404) (1)
